,1,2,3,4
0,0,1,0,0
1,1,1,0,1
2,1,1,0,1
3,0,1,0,0
4,1,1,0,1
5,0,1,0,0
6,0,1,0,0
7,1,1,0,1
8,1,1,0,1
9,0,1,0,0
10,0,1,0,0
11,1,1,0,1
12,0,1,0,0
13,1,1,0,1
14,1,1,0,1
15,0,1,0,0
16,1,1,0,1
17,0,1,0,0
18,0,1,0,0
19,1,1,0,1
20,0,1,0,0
21,1,1,0,1
22,1,1,0,1
23,0,1,0,0
24,0,1,0,0
25,1,1,0,1
26,1,1,0,1
27,0,1,0,0
28,1,1,0,1
29,0,1,0,0
30,0,1,0,0
31,1,1,0,1
32,1,1,0,1
33,0,1,0,0
34,0,1,0,0
35,1,1,0,1
36,0,1,0,0
37,1,1,0,1
38,1,1,0,1
39,0,1,0,0
40,0,1,0,0
41,1,1,0,1
42,1,1,0,1
43,0,1,0,0
44,1,1,0,1
45,0,1,0,0
46,0,1,0,0
47,1,1,0,1
48,0,1,0,0
49,1,1,0,1
50,1,1,0,1
51,0,1,0,0
52,1,1,0,1
53,0,1,0,0
54,0,1,0,0
55,1,1,0,1
56,1,1,0,1
57,0,1,0,0
58,0,1,0,0
59,1,1,0,1
60,0,1,0,0
61,1,1,0,1
62,1,1,0,1
63,0,1,0,0
64,1,1,0,1
65,0,1,0,0
66,0,1,0,0
67,1,1,0,1
68,0,1,0,0
69,1,1,0,1
70,1,1,0,1
71,0,1,0,0
72,0,1,0,0
73,1,1,0,1
74,1,1,0,1
75,0,1,0,0
76,1,1,0,1
77,0,1,0,0
78,0,1,0,0
79,1,1,0,1
80,0,1,0,0
81,1,1,0,1
82,1,1,0,1
83,0,1,0,0
84,1,1,0,1
85,0,1,0,0
86,0,1,0,0
87,1,1,0,1
88,1,1,0,1
89,0,1,0,0
90,0,1,0,0
91,1,1,0,1
92,0,1,0,0
93,1,1,0,1
94,1,1,0,1
95,0,1,0,0
96,0,1,0,0
97,1,1,0,1
98,1,1,0,1
99,0,1,0,0
100,1,1,0,1
101,0,1,0,0
102,0,1,0,0
103,1,1,0,1
104,1,1,0,1
105,0,1,0,0
106,0,1,0,0
107,1,1,0,1
108,0,1,0,0
109,1,1,0,1
110,1,1,0,1
111,0,1,0,0
112,1,1,0,1
113,0,1,0,0
114,0,1,0,0
115,1,1,0,1
116,0,1,0,0
117,1,1,0,1
118,1,1,0,1
119,0,1,0,0
120,0,1,0,0
121,1,1,0,1
122,1,1,0,1
123,0,1,0,0
124,1,1,0,1
125,0,1,0,0
126,0,1,0,0
127,1,1,0,1
128,1,1,1,0
129,1,0,0,0
130,1,0,0,0
131,1,1,1,0
132,1,0,0,0
133,1,1,1,0
134,1,1,1,0
135,1,0,0,0
136,1,0,0,0
137,1,1,1,0
138,1,1,1,0
139,1,0,0,0
140,1,1,1,0
141,1,0,0,0
142,1,0,0,0
143,1,1,1,0
144,1,0,0,0
145,1,1,1,0
146,1,1,1,0
147,1,0,0,0
148,1,1,1,0
149,1,0,0,0
150,1,0,0,0
151,1,1,1,0
152,1,1,1,0
153,1,0,0,0
154,1,0,0,0
155,1,1,1,0
156,1,0,0,0
157,1,1,1,0
158,1,1,1,0
159,1,0,0,0
160,1,0,0,0
161,1,1,1,0
162,1,1,1,0
163,1,0,0,0
164,1,1,1,0
165,1,0,0,0
166,1,0,0,0
167,1,1,1,0
168,1,1,1,0
169,1,0,0,0
170,1,0,0,0
171,1,1,1,0
172,1,0,0,0
173,1,1,1,0
174,1,1,1,0
175,1,0,0,0
176,1,1,1,0
177,1,0,0,0
178,1,0,0,0
179,1,1,1,0
180,1,0,0,0
181,1,1,1,0
182,1,1,1,0
183,1,0,0,0
184,1,0,0,0
185,1,1,1,0
186,1,1,1,0
187,1,0,0,0
188,1,1,1,0
189,1,0,0,0
190,1,0,0,0
191,1,1,1,0
192,1,0,0,0
193,1,1,1,0
194,1,1,1,0
195,1,0,0,0
196,1,1,1,0
197,1,0,0,0
198,1,0,0,0
199,1,1,1,0
200,1,1,1,0
201,1,0,0,0
202,1,0,0,0
203,1,1,1,0
204,1,0,0,0
205,1,1,1,0
206,1,1,1,0
207,1,0,0,0
208,1,1,1,0
209,1,0,0,0
210,1,0,0,0
211,1,1,1,0
212,1,0,0,0
213,1,1,1,0
214,1,1,1,0
215,1,0,0,0
216,1,0,0,0
217,1,1,1,0
218,1,1,1,0
219,1,0,0,0
220,1,1,1,0
221,1,0,0,0
222,1,0,0,0
223,1,1,1,0
224,1,1,1,0
225,1,0,0,0
226,1,0,0,0
227,1,1,1,0
228,1,0,0,0
229,1,1,1,0
230,1,1,1,0
231,1,0,0,0
232,1,0,0,0
233,1,1,1,0
234,1,1,1,0
235,1,0,0,0
236,1,1,1,0
237,1,0,0,0
238,1,0,0,0
239,1,1,1,0
240,1,0,0,0
241,1,1,1,0
242,1,1,1,0
243,1,0,0,0
244,1,1,1,0
245,1,0,0,0
246,1,0,0,0
247,1,1,1,0
248,1,1,1,0
249,1,0,0,0
250,1,0,0,0
251,1,1,1,0
252,1,0,0,0
253,1,1,1,0
254,1,1,1,0
255,1,0,0,0
