,1,2,3,4
0,0,1,0,0
1,1,1,0,1
2,1,1,0,1
3,0,1,0,0
4,1,1,0,1
5,0,1,0,0
6,0,1,0,0
7,1,1,0,1
8,1,1,0,1
9,0,1,0,0
10,0,1,0,0
11,1,1,0,1
12,0,1,0,0
13,1,1,0,1
14,1,1,0,1
15,0,1,0,0
16,1,1,0,1
17,0,1,0,0
18,0,1,0,0
19,1,1,0,1
20,0,1,0,0
21,1,1,0,1
22,1,1,0,1
23,0,1,0,0
24,0,1,0,0
25,1,1,0,1
26,1,1,0,1
27,0,1,0,0
28,1,1,0,1
29,0,1,0,0
30,0,1,0,0
31,1,1,0,1
32,1,1,1,0
33,1,0,0,0
34,1,0,0,0
35,1,1,1,0
36,1,0,0,0
37,1,1,1,0
38,1,1,1,0
39,1,0,0,0
40,1,0,0,0
41,1,1,1,0
42,1,1,1,0
43,1,0,0,0
44,1,1,1,0
45,1,0,0,0
46,1,0,0,0
47,1,1,1,0
48,1,0,0,0
49,1,1,1,0
50,1,1,1,0
51,1,0,0,0
52,1,1,1,0
53,1,0,0,0
54,1,0,0,0
55,1,1,1,0
56,1,1,1,0
57,1,0,0,0
58,1,0,0,0
59,1,1,1,0
60,1,0,0,0
61,1,1,1,0
62,1,1,1,0
63,1,0,0,0
64,0,1,0,0
65,1,1,0,1
66,1,1,0,1
67,0,1,0,0
68,1,1,0,1
69,0,1,0,0
70,0,1,0,0
71,1,1,0,1
72,1,1,0,1
73,0,1,0,0
74,0,1,0,0
75,1,1,0,1
76,0,1,0,0
77,1,1,0,1
78,1,1,0,1
79,0,1,0,0
80,1,1,0,1
81,0,1,0,0
82,0,1,0,0
83,1,1,0,1
84,0,1,0,0
85,1,1,0,1
86,1,1,0,1
87,0,1,0,0
88,0,1,0,0
89,1,1,0,1
90,1,1,0,1
91,0,1,0,0
92,1,1,0,1
93,0,1,0,0
94,0,1,0,0
95,1,1,0,1
96,1,1,1,0
97,1,0,0,0
98,1,0,0,0
99,1,1,1,0
100,1,0,0,0
101,1,1,1,0
102,1,1,1,0
103,1,0,0,0
104,1,0,0,0
105,1,1,1,0
106,1,1,1,0
107,1,0,0,0
108,1,1,1,0
109,1,0,0,0
110,1,0,0,0
111,1,1,1,0
112,1,0,0,0
113,1,1,1,0
114,1,1,1,0
115,1,0,0,0
116,1,1,1,0
117,1,0,0,0
118,1,0,0,0
119,1,1,1,0
120,1,1,1,0
121,1,0,0,0
122,1,0,0,0
123,1,1,1,0
124,1,0,0,0
125,1,1,1,0
126,1,1,1,0
127,1,0,0,0
128,0,1,0,0
129,1,1,0,1
130,1,1,0,1
131,0,1,0,0
132,1,1,0,1
133,0,1,0,0
134,0,1,0,0
135,1,1,0,1
136,1,1,0,1
137,0,1,0,0
138,0,1,0,0
139,1,1,0,1
140,0,1,0,0
141,1,1,0,1
142,1,1,0,1
143,0,1,0,0
144,1,1,0,1
145,0,1,0,0
146,0,1,0,0
147,1,1,0,1
148,0,1,0,0
149,1,1,0,1
150,1,1,0,1
151,0,1,0,0
152,0,1,0,0
153,1,1,0,1
154,1,1,0,1
155,0,1,0,0
156,1,1,0,1
157,0,1,0,0
158,0,1,0,0
159,1,1,0,1
160,1,1,1,0
161,1,0,0,0
162,1,0,0,0
163,1,1,1,0
164,1,0,0,0
165,1,1,1,0
166,1,1,1,0
167,1,0,0,0
168,1,0,0,0
169,1,1,1,0
170,1,1,1,0
171,1,0,0,0
172,1,1,1,0
173,1,0,0,0
174,1,0,0,0
175,1,1,1,0
176,1,0,0,0
177,1,1,1,0
178,1,1,1,0
179,1,0,0,0
180,1,1,1,0
181,1,0,0,0
182,1,0,0,0
183,1,1,1,0
184,1,1,1,0
185,1,0,0,0
186,1,0,0,0
187,1,1,1,0
188,1,0,0,0
189,1,1,1,0
190,1,1,1,0
191,1,0,0,0
192,0,1,0,0
193,1,1,0,1
194,1,1,0,1
195,0,1,0,0
196,1,1,0,1
197,0,1,0,0
198,0,1,0,0
199,1,1,0,1
200,1,1,0,1
201,0,1,0,0
202,0,1,0,0
203,1,1,0,1
204,0,1,0,0
205,1,1,0,1
206,1,1,0,1
207,0,1,0,0
208,1,1,0,1
209,0,1,0,0
210,0,1,0,0
211,1,1,0,1
212,0,1,0,0
213,1,1,0,1
214,1,1,0,1
215,0,1,0,0
216,0,1,0,0
217,1,1,0,1
218,1,1,0,1
219,0,1,0,0
220,1,1,0,1
221,0,1,0,0
222,0,1,0,0
223,1,1,0,1
224,1,1,1,0
225,1,0,0,0
226,1,0,0,0
227,1,1,1,0
228,1,0,0,0
229,1,1,1,0
230,1,1,1,0
231,1,0,0,0
232,1,0,0,0
233,1,1,1,0
234,1,1,1,0
235,1,0,0,0
236,1,1,1,0
237,1,0,0,0
238,1,0,0,0
239,1,1,1,0
240,1,0,0,0
241,1,1,1,0
242,1,1,1,0
243,1,0,0,0
244,1,1,1,0
245,1,0,0,0
246,1,0,0,0
247,1,1,1,0
248,1,1,1,0
249,1,0,0,0
250,1,0,0,0
251,1,1,1,0
252,1,0,0,0
253,1,1,1,0
254,1,1,1,0
255,1,0,0,0
